Transaction_ID,Date,Time,Sender_Name,Receiver_Name,Mobile_Number,UPI_ID,Bank_Name,Transaction_Type,Amount,Status,Payment_Method,State,City,Device_Type
PP100000,2026-07-01 00:00:00,01:09:18,Customer_1,Merchant_82,9265724933,user1@ybl,BOB,Merchant Payment,21731,Success,UPI,Madhya Pradesh,Aurangabad,Android
PP100001,2026-07-01 00:00:00,17:24:40,Customer_2,Merchant_95,9397529454,user2@ybl,PNB,Food Payment,15079,Success,QR Code,Gujarat,Kolhapur,Android
PP100002,2026-07-01 00:00:00,05:38:29,Customer_3,Merchant_38,9576495383,user3@ybl,SBI,Food Payment,15650,Success,QR Code,Madhya Pradesh,Nagpur,Android
PP100003,2026-07-01 00:00:00,01:56:10,Customer_4,Merchant_32,9066327496,user4@ybl,Canara,Merchant Payment,1306,Success,Phone Number,Maharashtra,Pune,iOS
PP100004,2026-07-01 00:00:00,20:07:54,Customer_5,Merchant_11,9337711220,user5@ybl,Axis,Food Payment,1549,Success,Phone Number,Karnataka,Aurangabad,iOS
PP100005,2026-07-01 00:00:00,12:55:40,Customer_6,Merchant_45,9257954323,user6@ybl,PNB,Bill Payment,10020,Success,QR Code,Karnataka,Kolhapur,Android
PP100006,2026-07-01 00:00:00,05:39:44,Customer_7,Merchant_89,9606013085,user7@ybl,ICICI,Merchant Payment,6675,Success,Phone Number,Gujarat,Pune,iOS
PP100007,2026-07-01 00:00:00,05:00:17,Customer_8,Merchant_33,9005335689,user8@ybl,HDFC,Merchant Payment,1897,Success,UPI,Maharashtra,Aurangabad,Android
PP100008,2026-07-01 00:00:00,21:04:40,Customer_9,Merchant_41,9483912055,user9@ybl,SBI,Merchant Payment,9961,Success,Phone Number,Madhya Pradesh,Aurangabad,iOS
PP100009,2026-07-01 00:00:00,02:25:02,Customer_10,Merchant_8,9024292924,user10@ybl,ICICI,Merchant Payment,21835,Success,QR Code,Karnataka,Pune,Android
PP100010,2026-07-01 00:00:00,00:06:24,Customer_11,Merchant_11,9430494359,user11@ybl,HDFC,Bill Payment,18882,Success,UPI,Karnataka,Pune,Android
PP100011,2026-07-01 00:00:00,00:06:44,Customer_12,Merchant_86,9366120783,user12@ybl,SBI,Merchant Payment,13075,Success,QR Code,Karnataka,Kolhapur,Android
PP100012,2026-07-01 00:00:00,11:22:23,Customer_13,Merchant_51,9585837834,user13@ybl,BOB,Bill Payment,16504,Failed,QR Code,Karnataka,Aurangabad,Android
PP100013,2026-07-01 00:00:00,13:18:46,Customer_14,Merchant_88,9795626795,user14@ybl,Kotak,Merchant Payment,3107,Success,UPI,Rajasthan,Kolhapur,Android
PP100014,2026-07-01 00:00:00,08:06:29,Customer_15,Merchant_41,9985837319,user15@ybl,Canara,Merchant Payment,5848,Success,Phone Number,Gujarat,Aurangabad,Android
PP100015,2026-07-01 00:00:00,03:32:43,Customer_16,Merchant_17,9843106517,user16@ybl,Canara,Food Payment,23829,Success,UPI,Madhya Pradesh,Kolhapur,iOS
PP100016,2026-07-01 00:00:00,05:06:24,Customer_17,Merchant_76,9376499784,user17@ybl,Kotak,Merchant Payment,18695,Success,Phone Number,Madhya Pradesh,Pune,Android
PP100017,2026-07-01 00:00:00,16:41:40,Customer_18,Merchant_46,9941426947,user18@ybl,PNB,Merchant Payment,21871,Success,Phone Number,Gujarat,Pune,Android
PP100018,2026-07-01 00:00:00,02:44:20,Customer_19,Merchant_32,9022848801,user19@ybl,Kotak,Bill Payment,24700,Success,UPI,Maharashtra,Mumbai,Android
PP100019,2026-07-01 00:00:00,22:24:02,Customer_20,Merchant_79,9439865600,user20@ybl,BOB,Food Payment,17097,Success,QR Code,Gujarat,Kolhapur,Android
PP100020,2026-07-01 00:00:00,14:03:32,Customer_21,Merchant_80,9719865001,user21@ybl,Axis,Bill Payment,22190,Success,Phone Number,Karnataka,Mumbai,Android
PP100021,2026-07-01 00:00:00,06:32:54,Customer_22,Merchant_54,9551094415,user22@ybl,Kotak,Food Payment,5426,Success,QR Code,Karnataka,Mumbai,Android
PP100022,2026-07-01 00:00:00,06:32:04,Customer_23,Merchant_86,9819126577,user23@ybl,HDFC,Bill Payment,11452,Success,Phone Number,Gujarat,Nagpur,Android
PP100023,2026-07-01 00:00:00,19:12:52,Customer_24,Merchant_92,9592206439,user24@ybl,Axis,Food Payment,3511,Success,QR Code,Gujarat,Aurangabad,Android
PP100024,2026-07-01 00:00:00,03:01:56,Customer_25,Merchant_20,9335774538,user25@ybl,Kotak,Merchant Payment,13378,Success,QR Code,Madhya Pradesh,Nashik,Android
PP100025,2026-07-01 00:00:00,01:20:09,Customer_26,Merchant_33,9799018727,user26@ybl,Canara,Merchant Payment,13374,Success,Phone Number,Madhya Pradesh,Nagpur,Android
PP100026,2026-07-01 00:00:00,08:56:41,Customer_27,Merchant_74,9093256368,user27@ybl,ICICI,Bill Payment,3412,Pending,UPI,Rajasthan,Aurangabad,Android
PP100027,2026-07-01 00:00:00,14:48:50,Customer_28,Merchant_40,9124279778,user28@ybl,HDFC,Food Payment,2288,Success,QR Code,Rajasthan,Nashik,iOS
PP100028,2026-07-01 00:00:00,03:44:16,Customer_29,Merchant_32,9344768719,user29@ybl,BOB,Food Payment,5652,Success,UPI,Karnataka,Mumbai,Android
PP100029,2026-07-01 00:00:00,15:39:57,Customer_30,Merchant_97,9351622175,user30@ybl,HDFC,Merchant Payment,3803,Success,Phone Number,Rajasthan,Nashik,Android
PP100030,2026-07-01 00:00:00,10:46:05,Customer_31,Merchant_2,9006744355,user31@ybl,SBI,Food Payment,14499,Failed,Phone Number,Rajasthan,Pune,iOS
PP100031,2026-07-01 00:00:00,09:40:16,Customer_32,Merchant_97,9286064413,user32@ybl,PNB,Merchant Payment,15407,Success,UPI,Maharashtra,Pune,Android
PP100032,2026-07-01 00:00:00,12:31:46,Customer_33,Merchant_33,9596482038,user33@ybl,ICICI,Merchant Payment,22377,Success,UPI,Gujarat,Kolhapur,Android
PP100033,2026-07-01 00:00:00,14:58:52,Customer_34,Merchant_77,9319428351,user34@ybl,HDFC,Food Payment,5989,Success,UPI,Madhya Pradesh,Aurangabad,iOS
PP100034,2026-07-01 00:00:00,04:45:00,Customer_35,Merchant_30,9528184715,user35@ybl,SBI,Merchant Payment,9001,Success,QR Code,Rajasthan,Nagpur,Android
